file,n_speakers,segs,ref_words,wer
audio_file_001,22,2182,28856,0.1716
audio_file_002,5,179,2019,0.2452
audio_file_003,14,2468,29327,0.1920
audio_file_004,13,1913,26870,0.1996
audio_file_005,15,1653,23043,0.2017
audio_file_006,12,2376,30559,0.1469
audio_file_007,19,2337,29026,0.1785
audio_file_008,16,2246,27800,0.1809
audio_file_009,11,246,3105,0.2915
audio_file_010,9,1640,21255,0.1901
audio_file_011,9,1594,22102,0.1878
audio_file_012,17,1863,28537,0.2713
audio_file_013,9,716,8353,0.2224
audio_file_014,9,1927,20048,0.2249
audio_file_016,16,2591,29682,0.1907
audio_file_017,15,2399,27115,0.1676
audio_file_018,6,474,5358,0.3852
audio_file_019,12,2255,26852,0.1835
audio_file_020,17,1652,19719,0.2389
audio_file_021,7,122,1345,0.3078
audio_file_022,12,2244,28747,0.1907
audio_file_023,13,179,2419,0.2369
audio_file_024,18,1906,32808,0.2815
TOTAL,120,37162,474945,0.2034
