speaker,n_files,segs,ref_words,wer
spk_1002,8,4259,58341,0.1730
spk_1001,23,4849,57170,0.2579
spk_1004,17,3356,41394,0.1861
spk_1003,5,3511,40171,0.1723
spk_1005,7,1554,24204,0.1202
spk_1006,5,1731,23270,0.1792
spk_1008,3,1253,18864,0.1033
spk_1007,2,1731,17827,0.2236
spk_1009,1,1682,17497,0.1583
spk_1011,4,895,12664,0.1730
spk_1010,3,1101,11818,0.1693
spk_1017,3,710,10892,0.4160
spk_1012,10,1079,10849,0.2196
spk_1014,1,325,9560,0.1576
spk_1013,2,666,9298,0.1458
spk_1015,7,506,8914,0.2658
spk_1016,3,439,7561,0.1303
spk_1019,1,394,7248,0.4477
spk_1018,1,511,7156,0.2061
spk_1021,3,453,6823,0.1803
spk_1020,7,487,5210,0.2528
spk_1022,5,329,3703,0.3824
spk_1023,1,241,3210,0.1458
spk_1025,4,202,3114,0.4082
spk_1024,4,336,2892,0.2310
spk_1027,3,172,2764,0.1682
spk_1028,2,211,2566,0.2292
spk_1030,2,214,2533,0.1303
spk_1029,2,279,2502,0.1443
spk_1031,1,165,2453,0.2515
spk_1034,1,184,1910,0.2157
spk_1032,1,196,1896,0.3581
spk_1037,1,134,1869,0.2761
spk_1036,1,110,1857,0.1012
spk_1035,5,221,1839,0.2529
spk_1033,2,116,1833,0.1866
spk_1040,3,102,1635,0.0966
spk_1039,3,104,1630,0.1748
spk_1042,1,132,1581,0.2239
spk_1046,2,115,1579,0.2875
spk_1041,7,150,1551,0.2573
spk_1043,1,63,1514,0.1129
spk_1038,1,90,1451,0.1716
spk_1045,1,175,1334,0.1499
spk_1047,6,151,1322,0.5560
spk_1048,1,99,1303,0.1650
spk_1049,1,85,1239,0.1663
spk_1050,1,65,1068,0.1461
spk_1051,5,96,927,0.3452
spk_1053,3,69,775,0.3587
spk_1055,1,72,744,0.2016
spk_1054,10,85,710,0.2986
spk_0057,4,29,627,0.1228
spk_1056,2,41,591,0.1607
spk_1058,4,27,568,0.1426
spk_1059,1,42,552,0.3514
spk_1060,2,30,492,0.1545
spk_1061,1,33,436,0.1743
spk_1063,1,22,394,0.1599
spk_1065,1,26,393,0.2417
spk_1066,1,42,391,0.1841
spk_1062,2,47,384,0.4818
spk_1064,2,41,357,0.3417
spk_0067,5,27,355,0.4338
spk_1068,1,40,319,0.2038
spk_1070,1,34,251,0.3108
spk_1071,1,20,233,0.2876
spk_1044,1,17,233,0.9785
spk_1026,3,16,228,0.2982
spk_1073,1,14,224,0.1786
spk_1069,1,29,222,0.4685
spk_1072,2,20,197,0.2640
spk_1077,1,7,185,0.2595
spk_0074,4,10,181,0.3039
spk_1080,1,21,174,0.3851
spk_1078,1,16,158,0.3671
spk_1075,2,15,152,0.5921
spk_0076,1,14,144,0.5069
spk_1082,1,12,135,0.5778
spk_1087,3,11,123,0.3821
spk_1083,1,6,119,0.1176
spk_1090,1,13,115,0.4261
spk_1086,1,5,114,0.1316
spk_1084,1,8,113,0.3186
spk_1085,1,6,113,0.2301
spk_1088,3,12,111,0.3784
spk_1091,1,18,103,0.3883
spk_1101,1,9,97,0.4639
spk_1094,1,8,95,0.6421
spk_1081,2,13,93,0.4516
spk_1092,1,8,87,0.4253
spk_1097,1,9,79,0.5190
spk_1093,1,8,79,0.5190
spk_1095,1,6,79,0.4810
spk_1096,1,3,73,0.1370
spk_0052,1,6,68,1.0147
spk_1098,1,4,55,0.5455
spk_1103,1,4,55,0.3818
spk_0100,2,3,54,0.4444
spk_1104,1,6,52,0.2692
spk_1105,1,6,44,0.3636
spk_1106,1,3,40,0.7250
spk_1102,1,3,39,0.2051
spk_1099,1,5,38,0.8158
spk_0107,3,4,37,0.3784
spk_1108,1,3,35,0.4571
spk_0115,1,4,32,0.4688
spk_1113,1,2,30,0.2667
spk_1114,1,1,25,0.6000
spk_0112,1,1,25,0.4400
spk_0109,1,1,20,0.2500
spk_0116,1,2,20,0.0500
spk_1111,1,4,19,1.2632
spk_1117,1,2,16,0.4375
spk_1118,1,2,16,1.0000
spk_1119,1,1,6,0.5000
spk_0121,2,2,5,1.2000
spk_0120,1,1,4,1.2500
spk_1122,1,1,3,1.6667
spk_0123,1,1,3,2.3333
TOTAL,120,37162,474945,0.2034
