speaker,n_files,segs,ref_words,wer,recovered_min_at_0.4
spk_1002,8,4259,58341,0.1730,273.73
spk_1001,23,4849,57170,0.2579,270.56
spk_1004,17,3356,41394,0.1861,233.74
spk_1003,5,3511,40171,0.1723,194.75
spk_1005,7,1554,24204,0.1202,114.59
spk_1006,5,1731,23270,0.1792,122.40
spk_1008,3,1253,18864,0.1033,91.24
spk_1007,2,1731,17827,0.2236,92.14
spk_1009,1,1682,17497,0.1583,88.43
spk_1011,4,895,12664,0.1730,54.86
spk_1010,3,1101,11818,0.1693,58.03
spk_1017,3,710,10892,0.4160,42.87
spk_1012,10,1079,10849,0.2196,52.10
spk_1014,1,325,9560,0.1576,43.73
spk_1013,2,666,9298,0.1458,46.09
spk_1015,7,506,8914,0.2658,42.48
spk_1016,3,439,7561,0.1303,36.39
spk_1019,1,394,7248,0.4477,26.02
spk_1018,1,511,7156,0.2061,34.53
spk_1021,3,453,6823,0.1803,35.25
spk_1020,7,487,5210,0.2528,25.87
spk_1022,5,329,3703,0.3824,15.36
spk_1023,1,241,3210,0.1458,16.00
spk_1025,4,202,3114,0.4082,12.28
spk_1024,4,336,2892,0.2310,14.68
spk_1027,3,172,2764,0.1682,13.37
spk_1028,2,211,2566,0.2292,10.90
spk_1030,2,214,2533,0.1303,14.17
spk_1029,2,279,2502,0.1443,14.22
spk_1031,1,165,2453,0.2515,11.45
spk_1034,1,184,1910,0.2157,9.85
spk_1032,1,196,1896,0.3581,10.03
spk_1037,1,134,1869,0.2761,9.07
spk_1036,1,110,1857,0.1012,10.06
spk_1035,5,221,1839,0.2529,9.82
spk_1033,2,116,1833,0.1866,8.24
spk_1040,3,102,1635,0.0966,9.41
spk_1039,3,104,1630,0.1748,7.38
spk_1042,1,132,1581,0.2239,7.30
spk_1046,2,115,1579,0.2875,7.03
spk_1041,7,150,1551,0.2573,8.01
spk_1043,1,63,1514,0.1129,7.26
spk_1038,1,90,1451,0.1716,7.60
spk_1045,1,175,1334,0.1499,7.19
spk_1047,6,151,1322,0.5560,5.88
spk_1048,1,99,1303,0.1650,7.13
spk_1049,1,85,1239,0.1663,6.95
spk_1050,1,65,1068,0.1461,6.03
spk_1051,5,96,927,0.3452,3.85
spk_1053,3,69,775,0.3587,3.65
spk_1055,1,72,744,0.2016,3.91
spk_1054,10,85,710,0.2986,4.09
spk_0057,4,29,627,0.1228,3.13
spk_1056,2,41,591,0.1607,2.72
spk_1058,4,27,568,0.1426,2.83
spk_1059,1,42,552,0.3514,2.92
spk_1060,2,30,492,0.1545,2.07
spk_1061,1,33,436,0.1743,2.10
spk_1063,1,22,394,0.1599,2.29
spk_1065,1,26,393,0.2417,2.03
spk_1066,1,42,391,0.1841,1.92
spk_1062,2,47,384,0.4818,1.91
spk_1064,2,41,357,0.3417,1.87
spk_0067,5,27,355,0.4338,1.78
spk_1068,1,40,319,0.2038,1.68
spk_1070,1,34,251,0.3108,1.40
spk_1071,1,20,233,0.2876,1.24
spk_1044,1,17,233,0.9785,0.20
spk_1026,3,16,228,0.2982,1.04
spk_1073,1,14,224,0.1786,0.96
spk_1069,1,29,222,0.4685,1.26
spk_1072,2,20,197,0.2640,1.01
spk_1077,1,7,185,0.2595,0.86
spk_0074,4,10,181,0.3039,0.86
spk_1080,1,21,174,0.3851,0.91
spk_1078,1,16,158,0.3671,0.89
spk_1075,2,15,152,0.5921,0.66
spk_0076,1,14,144,0.5069,0.71
spk_1082,1,12,135,0.5778,0.57
spk_1087,3,11,123,0.3821,0.62
spk_1083,1,6,119,0.1176,0.52
spk_1090,1,13,115,0.4261,0.61
spk_1086,1,5,114,0.1316,0.48
spk_1084,1,8,113,0.3186,0.53
spk_1085,1,6,113,0.2301,0.46
spk_1088,3,12,111,0.3784,0.61
spk_1091,1,18,103,0.3883,0.65
spk_1101,1,9,97,0.4639,0.47
spk_1094,1,8,95,0.6421,0.37
spk_1081,2,13,93,0.4516,0.48
spk_1092,1,8,87,0.4253,0.35
spk_1097,1,9,79,0.5190,0.33
spk_1093,1,8,79,0.5190,0.46
spk_1095,1,6,79,0.4810,0.32
spk_1096,1,3,73,0.1370,0.37
spk_0052,1,6,68,1.0147,0.16
spk_1098,1,4,55,0.5455,0.24
spk_1103,1,4,55,0.3818,0.23
spk_0100,2,3,54,0.4444,0.25
spk_1104,1,6,52,0.2692,0.37
spk_1105,1,6,44,0.3636,0.24
spk_1106,1,3,40,0.7250,0.00
spk_1102,1,3,39,0.2051,0.18
spk_1099,1,5,38,0.8158,0.21
spk_0107,3,4,37,0.3784,0.21
spk_1108,1,3,35,0.4571,0.19
spk_0115,1,4,32,0.4688,0.13
spk_1113,1,2,30,0.2667,0.12
spk_1114,1,1,25,0.6000,0.11
spk_0112,1,1,25,0.4400,0.09
spk_0109,1,1,20,0.2500,0.11
spk_0116,1,2,20,0.0500,0.08
spk_1111,1,4,19,1.2632,0.16
spk_1117,1,2,16,0.4375,0.10
spk_1118,1,2,16,1.0000,0.14
spk_1119,1,1,6,0.5000,0.05
spk_0121,2,2,5,1.2000,0.06
spk_0120,1,1,4,1.2500,0.02
spk_1122,1,1,3,1.6667,0.03
spk_0123,1,1,3,2.3333,0.02
TOTAL,120,37162,474945,0.2034,2314.92
